IPv4,Gateway,sicExists
100.64.13.242,ArdenFW,True
100.64.13.250,Aurora-CPVNF,True
100.64.12.74,Boonton-FW01,True
100.64.13.202,BrokenArrow-FW01,True
100.64.14.154,Burlington-FW01,True
100.64.12.1,CA-PICKERING-CPVNF,True
100.64.14.10,CASTLEHILL-CPVNF,True
100.64.15.10,Centralia-CPVNF,True
100.64.13.218,Chatsworth-FW01,True
100.64.14.66,Chennai-CPVNF,True
100.64.14.42,Chennai2-CPVNF,True
100.64.14.114,Christiansburg-VA-CPVNF,True
100.64.14.98,Corsico-1-CPVNF,True
100.64.13.186,CrestviewHills-FW-01,True
100.64.14.2,Cuba-FW01,True
100.64.14.90,Dongguan-CPVNF,True
100.64.14.146,Dublin-CPVNF,True
100.64.12.234,Edmonton-FW01,True
100.64.15.18,El-Paso-FW01,True
100.64.14.250,Foothill-Ranch-FW01,True
100.64.13.154,Freeburg-FW01,True
100.64.13.170,Greenville3_FW01,True
100.64.13.210,Greenville4-CPVNF,True
100.64.13.114,Guangzhou-CPVNF,True
100.64.12.34,Hammond-FW01,True
100.64.15.66,Herndon-FW01,True
100.64.12.194,Jalisco-FW01,True
100.64.14.34,JeffersonPendergrass-FW01,True
100.64.14.234,Juarez2-FW01,True
100.64.14.122,JuarezPlant1-CPVNF,True
100.64.14.130,JuarezPlant2-CPVNF,True
100.64.14.170,Kochi-CPVNF,True
100.64.15.42,LeRoy-FW01,True
100.64.15.26,Manila-CPVNF,True
100.64.14.106,Mayville1-FW01,True
100.64.13.146,Mayville2-FW01,True
100.64.14.226,Menomonee-FW01,True
100.64.14.218,Monterrey2-FW01,True
100.64.13.162,Montreal-FW01,True
100.64.13.161,Montreal_FW01,True
100.64.12.18,Mystic-FW01,True
100.64.14.58,NewBerlin-CPNVF,True
100.64.13.234,NorthHollywood-CPVNF,True
100.64.14.138,Ontario2-FW01,True
100.64.13.226,OntarioArmorcast-CPVNF,True
100.64.14.210,Oradea-FW01,True
100.64.12.9,Pittsburgh-2-FW01,True
100.64.14.82,RockyMount-CPVNF,True
100.64.14.18,RollingMeadows-FW01,True
100.64.13.178,RowlandHeights-FW01,True
